token,project,flaky
getServiceComponentHosts cluster handler hi setLastHeartbeatTime setHardwareProfile hm setHostname setNodeStatus getCluster mapHostsToCluster centos5 setComponentName iterator getServiceComponentName handleRegistration reg setResponseId host sch getClustersForHost getHost add addCluster HostState getServerVersion am  Heartbeat will expire and action queue will be flushed testHeartbeatLossWithComponent Role aq setComponentStatus setAgentVersion size State name mock statuses addServiceComponent HDP-0.1 shutdown setDesiredStackVersion next setOS hostNames getServiceName  try to flip statuses back setClusterName System sleep sc hostname1 addService Centos5 setServiceName clusterName HostStatus persist injector clusters setTimestamp getServiceComponent handleHeartBeat cool ambariMetaInfo start Service assertEquals addServiceComponentHost serviceName addHost getService setStatus Thread cs Integer enqueue setOsType getState currentTimeMillis hdfs isClientComponent setState hb getInstance  don't keep marking the host as down ,ambari,1
next deleteTopic KafkaUtils data log keys localZKServer testProduceConsume TOPIC chooseFreePort sleep iterator assertTrue getFirst info localhost add localKafkaBroker Starting consumer thread readData Producing data valueOf kafkaBrokerPort start  Sleep for a while before shutting down producer to let both finish hasNext assertEquals zkPort produce NUM_DATA Thread Integer IOUtils contains getPort doRun size awaitScheduling maybeCreateTopic ,oryx,1
"Unexpected Exception      f->(2,3)     2->decision node->{4,k,4}     3->decision node->{k,5,k}     4->j     5->j      def addNode printStackTrace e f one j k kill three two asList fail testDecisionsToKillForkJoin invokeForkJoin parser four name dummyConf end Arrays five ",oozie,1
testSetKeyValueExpiration ninjaCache parseDuration cache set 10s TimeUtil verify expiration value key ,ninja,0
"DagELFunctions ActionType testELFunctionsReturningMapReduceStats ""REDUCE_INPUT_RECORDS"":2}} createEvaluator {""g"":{""c"":10},""org.apache.hadoop.mapred.JobInProgress$Counter"": ${hadoop:counters('H')['ACTION_TYPE']} context setId action group counters workflow ""REDUCE_OUTPUT_RECORDS"":2,""SPILLED_RECORDS"":4,""MAP_OUTPUT_BYTES"":28, ']} ${hadoop:counters('H')[' 1 ApplicationType ${hadoop:counters('H')[RECORDS][MAP_OUT]} eval ""FILE_BYTES_WRITTEN"":146,""HDFS_BYTES_WRITTEN"":16}, name {""TOTAL_LAUNCHED_REDUCES"":1,""TOTAL_LAUNCHED_MAPS"":2,""DATA_LOCAL_MAPS"":2},""ACTION_TYPE"":""MAP_REDUCE"", evaluate setName addNode ""FileSystemCounters"":{""FILE_BYTES_READ"":38,""HDFS_BYTES_READ"":19, generateId H '][' wi configureEvaluator get ""COMBINE_OUTPUT_RECORDS"":0,""MAP_INPUT_RECORDS"":2,""REDUCE_SHUFFLE_BYTES"":22, <workflow-app/> MapReduceActionExecutor ${hadoop:counters('H')[RECORDS][REDUCE_OUT]} setProtoActionConf setWorkflowInstance ${hadoop:counters('H')[RECORDS][REDUCE_IN]} a c ${hadoop:counters('H')[RECORDS][GROUPS]} ${hadoop:counters('H')[RECORDS][MAP_IN]} setVar g assertEquals ""org.apache.hadoop.mapred.Task$Counter"":{""REDUCE_INPUT_GROUPS"":2, wfApp Services <configuration/> ""MAP_INPUT_BYTES"":12,""MAP_OUTPUT_RECORDS"":2,""COMBINE_INPUT_RECORDS"":0, toString ",oozie,1
WhitelistBasedResolver 10.119.103.112 set 10.113.221.221 SASL_PRIVACY_PROPS 10.221.102.0/23 conf getServerProperties assertEquals setConf testNullIPAddress fixedIps createFileWithEntries setLong variablewhitelist.txt removeFile TestFileBasedIPList wqr variableIps 10.222.0.0/16 fixedwhitelist.txt setBoolean ,hadoop,0
 conn setRequestMethod IS_SECURITY_ENABLED jo /v1/jobs getId put total bundleJobBean assertTrue array get json content-type Job bundle runTest RestConstants openConnection valueOf addRecordToBundleJobTable MockDagEngineService HttpServletResponse assertEquals parse params getInputStream bundleJobId url =BUNDLE-TEST; JSONValue call OozieClient getHeaderField getTestUser xDataTestCase =PREP; GET getResponseCode Long bundlejobs reset createURL testGetBundleJobs = startsWith ,oozie,1
lookupCountryIdentifier MO 000000 assertEquals testLookup 500000 assertNull 472000 US/CA GB support 958000 509000 ,zxing,0
"BYTES  Missing format specification, this should throw. 1T conf  Illegal number  specification, this should throw. 1GB  This call returns the value specified in the Key as a double in MBs. MB setStrings nonKey KB 1k  illegal format specification, this should throw. GB  suffix. key 1TB 1bytes 1PB getStorageSize HadoopGB thrown is 1HB assertThat 64 GB  during read, we also try to read using a different Storage Units. TB 10m valid.key 100 expect testStorageUnit  to MBs are returns that value. 2048b setStorageSize not.a.key ",hadoop,0
"cursor  value5 getName value7 value1 value4 value3  2nd element has 1 parameter testParseHeaderElements  1st element Assert  2nd element parseElements  3rd element name5=value5, name6= ; name7 = value7; name8 = "" value8"" length headerValue assertEquals  value8 name6 name1 = value1; name2; name3=""value3"" , name4=value4;  getValue name5 buf  1st element has 2 getParameters() name4  3rd element has 2 getParameters() name3 name8 elements name7 getParameters  there are 3 elements name2 name1 append ",httpcore,0
getPayloadContent read valueOf testReadFramePartialReads getStreamId assertEquals inBuffer readableChannel ByteBuffer remaining FrameFlag Assert allocate getType payload assertNotNull FrameType of get getFlags frame ,httpcore,0
getFailoversOccurred proxyProvider impl2 start setLatchEnabled assertEquals impl1 RetryProxy  Getting a proxy will now wait on a latch. TypeOfExceptionToFailWith RetryPolicies unreliable create failoverOnNetworkException join t1 testConcurrentMethodFailures t2 ,hadoop,1
valueOf assertFalse assertEquals HTTP Float Assert assertTrue hashCode equals ver2 ver1 http testHttpVersionEquality HttpVersion ,httpcore,0
HttpHeaders 12 addHeader process ProtocolException should have been thrown chunked interceptor Method testRequestContentProtocolException request2 getEntity request1 / fail Assert context ,httpcore,0
setLong DFSConfigKeys fName  Modify defaul filesystem settings conf hFlush_03 customPerChecksumSize customBlockSize setInt doTheJob ,hadoop,1
headers getServerAddress testThatMetaInfIntegrationWorks ninjaTestBrowser newHashMap assertEquals assets/webjars/bootstrap/3.0.0/css/bootstrap.min.css  Some empty headers for now... makeRequestAndGetResponse Maps  /redirect will send a location: redirect in the headers getStatusCode getStatusLine httpResponse ,ninja,1
date dd integerPrimitive equalTo invoke IsUUID IsInteger uuid when put context validation IsDate characterPrimitive ee somethingElseWhatShouldBeSkipped assertViolation thenReturn  some setup for this method: testBodyParserWithValidationErrors longObject  do assertThat characterObject IsFloat floatPrimitive  and test: bodyParserEnginePost getValidation hasViolations assertTrue testObject doublePrimitive map timestamp cc a b c d integerObject e f g h floatObject assertNull Mockito longPrimitive getParameters doubleObject ,ninja,0
/assets/css/app.css /assets/javascripts/main.js /John/photos/2201 buildRoute assertFalse John /assets/{file: .*} robots.txt file assertTrue 2201 get javascripts/main.js id map John/photos/first /assets/robots.txt entrySet getPathParametersEncoded assertEquals matches  regex expressions... pathUnderTest ninjaBaseDirectoryResolver /{name: .+}/photos/{id: [0-9]+}  multiple parameter parsing with regex expressions route size css/app.css basicPlaceholersParametersAndRegexInsideVariableParts GET name routeBuilder ninjaProperties ,ninja,0
getClass getServletContext TOKEN_VALIDITY_SEC assertFalse simple getValidity when getCookiePath asList getInitParameterNames getAttribute Assert assertTrue context init AuthenticationFilter thenReturn isCustomSignerSecretProvider destroy assertEquals isRandomSecret getAuthenticationHandler filter assertNull getInitParameter  minimal configuration & simple auth handler (Pseudo) Mockito getCookieDomain elements mock testFallbackToRandomSecretProvider toString Arrays config ,hadoop,0
END_POINTS IS_SECURITY_ENABLED getContextURL oozieUrl testOozieStatus HeaderTestingVersionServlet clear admin run assertEquals -systemmode args call -oozie -status SERVLET_CLASSES NORMAL runTest ,oozie,1
should enqueue e expected should not enqueue assertEquals run consume trigger capacity testConsumeAll q enqueue times consumeAll assertTrue mock verify  arbitrary element ,hadoop,0
thenReturn true context primBooleanParam create verify invoke primBooleanParamShouldBeParsedToBoolean when param1 mockController getParameter ,ninja,0
"getCurrentUser getGroupNames GROUP_NAMES assertFalse  make sure it is not the same as the login user conf run String assertTrue ugi PERCENTILES_INTERVAL setConfiguration  make sure in the scope of the doAs, the right user is current UserGroupInformation createUserForTesting curUGI set userGroupInfo valueOf assertEquals USER_NAME getLoginUser testLogin verifyGroupMetrics  ensure that doAs works correctly  login from unix doAs equals HADOOP_USER_GROUP_METRICS_PERCENTILES_INTERVALS ",hadoop,0
ROW_1 QUALIFIER_1 value2 value1 QUALIFIER_2 ROW_2  test timerange result Bytes setMaxVersions testGet assertTrue TS_2 assertNotNull TS_1 getTimestamp get  @TS_1 VALUE_1  @TS_2  test maxVersions VALUE_2 setTimeRange addColumn count assertEquals  test timestamp kv list getValue assertNull setTimeStamp COLUMN_2 COLUMN_1 addFamily getFamily equals COLUMN_3 remoteTable ,hadoop,1
appendBits testAppendBitVector appendBitArray  X.XXXXX. XXX.XXXX toString assertEquals v1  beef = 1011 1110 1110 1111 v2 ,zxing,0
addRecordToWfActionTable getId WorkflowInstance _testWfActionSubsetGet System testWfActionSubsetGet 1 2 addRecordToWfJobTable WorkflowAction testWfActionSubsetGet Successful WorkflowJob job ,oozie,1
"getJobTrackerUri </name-node> <configuration> <java> </configuration> getAppPath getActions conf setupActionConf createBaseHadoopConf testACLDefaults_noFalseChange actionXml wfBean test2-acl <property><name>oozie.launcher.mapreduce.job.acl-modify-job</name><value>M</value></property> addRecordToWfJobTable assertNotNull get context action JavaActionExecutor <job-tracker> getNameNodeUri  CASE: launcher specific ACLs configured, but MR job ACLs not configured i.e. null. Check for no false changes to null eActionXml <property><name>oozie.launcher.mapreduce.job.acl-view-job</name><value>V</value></property> actionConf </java> ae XmlUtils parseXml </job-tracker> createLauncherConf <main-class>MAIN-CLASS</main-class> getFileSystem setType <name-node> getType ",oozie,1
"code sessionsAreNotSharedOnSingleResultInstances  request above) got assigned to us! conf/jetty.com.session.conf client2 nullValue client1 client0  should not get a session value back  establish session with a set-cookie header not followRedirects get Set-Cookie RANDOM_PORT HttpRequest Cookie externalConfigurationPath standalone start is assertThat /badRoute port getBaseUrls /getOrCreateSession  call redirect so its session is processed first time (triggers bug for issue #450) header  this test is not really specific to jetty, but its easier to test here shutdown ",ninja,0
address e RANDOM Expected an exception to have been thrown getMessage conf nextLong when mockFactory call fail doThrow contains createSocket stop assertTrue mock client Injected fault testSocketFactoryException 127.0.0.1 ,hadoop,0
svc init stop testServiceNotifications listener start registerServiceListener assertEventCount ,hadoop,0
CoordinatorJobBean jobConf bundleJobGetCmd log submitCmd getId getStatus isPending appPath Configuration parse error. read from DB : getJob sleep testBundleSuspend2 bundleActionsGetCmd assertNotNull get getAuthToken Job waitFor coordGetCmd1 set coordGetCmd2 getConf job2 job1 addRecordToBundleJobTable assertEquals getCoordId execute bundle.xml call Services warn OozieClient size equals toString ErrorCode job jpaService actions evaluate ioe ,oozie,1
hdfs11 submit reader getJobInfo LocalOozie conf inPath getStatus sleep jobId1 getTestCaseDir /workflow.xml file:// workflow.xml testRedeploy WorkflowJob waitFor rerun-el-wf.xml wfClient rerun-elerr-wf.xml start assertEquals getClient reRun /check OozieClient IOUtils getTestUser copyCharStream setProperty getResourceAsReader createConfiguration toString writer File evaluate getFsTestCaseDir checkDir ,oozie,1
"init data writtenSize createFile duSize Thread sleep du file testDU getUsed Invalid on-disk size assertTrue slack  writing 32K  that may store additional file metadata (eg ext attrs).  test without launching thread DU_DIR  let the metadata updater catch up close  test with 0 interval, will not launch thread ",hadoop,0
 getClass testClearingCachedMappings resolve 	/rack2  conf reloadCachedMappings /rack2 /rack1 result .txt get .testClearingCachedMappings Files write deleteOnExit add mapFile mapping getCanonicalPath set  /rack1  asCharSink createTempFile assertEquals setConf NET_TOPOLOGY_TABLE_MAPPING_FILE_KEY names size NetworkTopology hostName2 hostName1 getSimpleName File Charsets ,hadoop,0
eval intercept testEvalDoesWrapIOEs verifyCause ioe ,hadoop,0
"server serverThreads Server assertFalse callIds run conf  contains every expected value. startID get client synchronizedList join perCallerCallCount Collections addr getCallId callerCount add intValue testUniqueSequentialCallIds start assertEquals sort getConnectAddress  list must be synchronized, because multiple server threads will add to it. NetUtils stop size callers expectedCallCount ",hadoop,0
Expected no groups to be returned given a shell command timeout defaultTimeout The groups framework call should   Test the no-timeout (default) configuration assertFalse ran longer than the configured timeout limit conf Expected the logs to carry  shellMappingLog  Test a 1 second max-runtime timeout Expected the group ID executor to carry the configured timeout assertTrue clearOutput executor Expected the group ID executor to carry the default timeout  Test also the parent Groups framework for expected behaviour createGroupExecutor createGroupIDExecutor a message about command timeout but was:  testFiniteGroupResolutionTime have failed with a command timeout getGroups getOutput Expected the group names executor to carry the configured timeout mapping CommonConfigurationKeys testTimeout setClass groups foobarnonexistinguser newInstance assertEquals userName getTimeoutInterval fail setLong contains size commandTimeoutMessage ReflectionUtils Expected the group names executor to carry the default timeout Didn't expect a timeout of command in execution but logs carry it:  ,hadoop,0
fencer MOCK_TARGET testShortNameSshWithUserPort assertFalse sshfence(user:123) fence setupFencer ,hadoop,0
"KeyProvider testRootDir getCurrentKey No password file property, env not set, it should fail key3 conf ourUrl delete unset bar using non existing password file, it should fail testJksProviderPasswordViaConfig file Assert flush provider assertNotNull get options JavaKeyStoreProvider test.jks set getProviders core-site.xml toUri could not create keystore with password file using different password file, it should fail createKey javakeystoreprovider.password fail jksPath ://file toString KeyProviderFactory ",hadoop,0
servicePrincipal handler getOidInstance getName base64 getServerName createContext when requestCredDeleg setHeader Assert getUserName   localhost inToken doAsClient thenReturn GSS_KRB5_MECH_OID eq matches getType GSSContext mock dispose createName request authenticate NT_GSS_KRB5_PRINCIPAL authToken gssContext oid getHeader getExpectedType gssManager KerberosAuthenticator assertTrue GSSManager verify initSecContext  .* testRequestWithAuthorization encodeToString HttpServletResponse outToken assertEquals KerberosTestUtils serviceName KerberosUtil setStatus token call getClientPrincipal requestMutualAuth Mockito response getServerPrincipal getInstance startsWith ,hadoop,0
shutdownTimeoutMillis getCurrentUser submit foo testStopThreads conf sleep Assert updateIntervalSeconds assertNotNull tm1 getDelegationTokenSecretManager sm getSecretConf UserGroupInformation getListenerThreadPool init getConnectString ZKDelegationTokenSecretManager zkServer unchecked destroy createToken es token Thread call setLong zksm  force this to be shutdownNow connectString  it will cause an error. DelegationTokenManager rawtypes ,hadoop,0
thenReturn invoke when param1 dateParam assertTrue context create verify customDateFormatValidationShouldWork mockController validation hasViolation blah getParameter ,ninja,0
cluster conf namenode args getDefaultUri testFsOption build FileSystem testPropertyOption toString testConfOption testDFSCommand /data shutdown -mkdir ,hadoop,1
getProperty priorDefaultEncoding UTF-8 declareProperty writeXml endConfig startConfig conf assertEquals fos System CONFIG_MULTI_BYTE_SAVED testMultiByteCharacters US-ASCII out CONFIG_MULTI_BYTE file.encoding addResource setProperty get name multi_byte_æ„›_name multi_byte_Ù_value value ,hadoop,0
PATH request  Add request. alreadyCheckedResponse put stuffParm Parameters appended to the path should have been put in the query. Assert assertTrue runTests get addTest /stuff parameterInPath adapter test containsKey query unchecked stuff2 assertEquals execute framework QUERY REQUEST newFrameworkAndSetAdapter stuffParm2 /stuff?stuffParm=stuff&stuffParm2=stuff2 stuff ,httpcore,0
 1 1 1 1 1 1 1 0                   0 1 1 1 1 1 1 1  testEmbedBasicPatterns2 MatrixUtil getVersionForNumber  0 0 0 0 0 0 0 0 1               1 0 0 0 1          matrix  1 1 1 1 1 1 1 0                 1 0 1 0 1           1 0 0 0 0 0 1 0                                    Version  0 0 0 0 0 0 0 0                   0 0 0 0 0 0 0 0  clearMatrix  1 1 1 1 1 1 1 0                                                 0                                       1 0 0 0 0 0 1 0                 1 0 0 0 1           1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 1 1 1 1               1                   1 1 1 1 1           1 0 1 1 1 0 1 0                   0 1 0 1 1 1 0 1   1 0 1 1 1 0 1 0                 1 1 1 1 1          expected assertEquals embedBasicPatterns              1                                       1 0 1 1 1 0 1 0                                     bottom corner. toString  1 0 0 0 0 0 1 0                   0 1 0 0 0 0 0 1  ,zxing,0
cluster testSeekBugDFS conf getFileSystem seekReadFile smallReadSeek build fileSys file1 seektest.dat close writeFile shutdown cleanupFile ,hadoop,1
server ProxyUsers TestProtocol RPC configureSuperUserIPAddresses getProxySuperuserGroupConfKey getProxy aMethod GROUP_NAMES  via  conf run testRealUserAuthorizationSuccess retVal Assert setStrings REAL_USER_SHORT_NAME refreshConf stopProxy addr UserGroupInformation getServer ret proxyUserUgi printStackTrace e start assertEquals createRemoteUser group1 getConnectAddress REAL_USER_NAME fail proxy doAs NetUtils stop ADDRESS PROXY_USER_NAME realUserUgi createProxyUserForTesting ,hadoop,1
"ensureTimeToPoll testWatchForMultipleEventTypes resolve ImmutableList foo ENTRY_CREATE fs delete createFile path bar foo/bar of getPath createDirectory baz Files createDirectories watcher ENTRY_MODIFY  watcher polls, seeing modification, then polls again, seeing delete  this could be flaky; may need to increase time between polling if so (or just not test it) ENTRY_DELETE register assertWatcherHasEvents ",jimfs,1
"me=;user1=group1;user2=group1,group2 testGroupLookupForStaticUsers assertFalse conf group lookup done for static user assertTrue me getGroups non-empty groups for static user group lookup done for unprivileged user add user1 user2 set CommonConfigurationKeys setClass expected isEmpty groups group2 group1     * Group lookup should not happen for static users     userGroups FakeunPrivilegedGroupMapping equals groups not correct ",hadoop,0
fail process Assert HttpStatus response testResponseConnControlHostInvalidInput interceptor OK IllegalArgumentException should have been thrown ,httpcore,0
p a b test2 size a/b get assertEquals peekLast ,logback,0
"GET_ALL_GROUPS_CMD testStaticMapping assumeNotWindows put HashBiMap uMap  | cut -d: -f1,3 echo ""hdfs:*:11501:hrt_hdfs  uidStaticMap mapred:x:497  get create gMap atm hdfs:x:11501:10787:Grid Distributed File System:/home/hdfs:/bin/bash"" group inverse mapred2:x:498"" GET_ALL_USERS_CMD assertEquals mapred2 ShellBasedIdMapping hdfs :  Maps for id to name map echo ""atm:x:1000:1000:Aaron T. Myers,,,:/home/atm:/bin/bash  user mapred gidStaticMap updateMapInternal ",hadoop,0
assertTrue release isLocked assertFalse start lock run testMultipleThread join acquire competingThread tryLock ,hadoop,0
  df Filesystem     1K-blocks     Used Available Use% Mounted on Expected exception with empty line! Unexpected empty line Fewer lines of output than expected e reader GenericTestUtils testDFMalformedOutput        19222656 10597036   7649060  59% / System / /dev/sda5       19222656 10597036   7649060  59% / fail Filesystem     1K-blocks     Used Available Use% Mounted on  assertExceptionContains Could not parse line:  parseOutput toString parseExecResult Expected exception with missing line! Expected exception with missing field! ,hadoop,0
actionNum getId getStatus addRecordToCoordActionTable addRecordToCoordJobTable _testCoordActionForCorrectColumnValues CoordinatorJob jobId testCoordActionsRunningForColumnValues       * Add a Coordinator action with status RUNNING and check for expected column values       coord-action-get.xml CoordinatorAction action job getPending ,oozie,1
"Assert ContentType getMimeType text/plain; charset="" "" testParseEmptyCharset assertEquals parse getCharset contentType text/plain ",httpcore,0
a${k${zero}}b input node transform nodeToStringTransformer nestedVariable propertyContainer0 makeNode av0b assertEquals ,logback,0
" Wait for the async task to finish  Refill task should add 10 values to get to a full queue test SyncGenerationPolicy k1 Failed in async call. getAtMost  Queue is empty, sync will return a single value and trigger a refill assertEquals getNext drain  Drain completely, no further refills triggered  the prefill to the low watermark, 1 consumed by getNext()) waitForRefill Assert size getTop filler vq  Trigger a prefill (3) and an async refill (8) testgetAtMostPolicyATLEAST_ONE shutdown ",hadoop,0
addRecordToBundleActionTable getId coordActionB addRecordToCoordActionTable bundleJobA bundleJobB children assertNotNull bundleActionB get CoordinatorAction something_different Job coordJobB getAppName setAppName addRecordToBundleJobTable execute addRecordToCoordJobTable checkChildren Services CoordinatorJob coordActionA2 coord-action-get.xml testGetBundleParent coordActionA1 addAll bundleActionA1 bundleActionA2 jpaService coordJobA2 coordJobA1 ,oozie,1
Exception should specify parsing error and invalid umask:  22 99  b set foo getMessage conf iae Shouldn't have been able to parse bad umask fail 1777 assertTrue isCorrectExceptionMessage getUMask FsPermission testBadUmasks ,hadoop,0
"setHandler conn getCurrentUser  proxyuser using raw HTTP, verifying doAs is case insensitive run String /bar Assert /foo/bar FOO_USER ugi context readLines DispatcherType UserGroupInformation ret /foo %s?user.name=%s&DOAS=%s OK_USER openConnection  requests using delegation token as auth do not honor doAs format  unauthorized proxy user using authentication handler authentication setContextPath createJettyServer strUrl createRemoteUser getInputStream toExternalForm doAs stop size addFilter  proxy using delegation token authentication FAIL_USER HttpURLConnection of get jetty /* getJettyURL addToken aUrl addServlet EnumSet start assertEquals testProxyUser url token IOUtils  proxyuser using authentication handler authentication getResponseCode getDelegationToken %s?user.name=%s&doas=%s ",hadoop,0
actionNum CoordinatorJob jobId coord-action-get.xml testCoordActionsNotCompletetedForSize CoordinatorAction _testCoordActionsNotCompletedSize getId job addRecordToCoordActionTable       * Add 2 Coordinator actions which are not completed (status as RUNNING and WAITING) and add 2 Coordinator actions      * which are completed (status as FAILED and KILLED). Then check for expected number of actions retrieved.       addRecordToCoordJobTable ,oozie,1
 positive test getStatus SubWorkflowActionExecutor protoConf createBaseWorkflow getWorkflowClient getTestGroup newConf create </app-path> action setId workflow.xml write getBaseProtoConf waitFor actionConf workflow getFileSystem check childConf testGetGroupFromParent OozieClient       </configuration> WorkflowAction W1 File evaluate  negative test <sub-workflow xmlns='uri:oozie:workflow:0.1' name='subwf'>       <app-path>       <configuration> getJobInfo assertFalse           <name>a</name>         </property> getActions getExternalId fs APP1           <value>A</value> WorkflowActionBean wf W get end close set getConf oozieClient         <property> start defaultConf subWorkflowAppPath subWorkflow assertEquals setConf toXmlString </sub-workflow> writer action1 getFsTestCaseDir ,oozie,1
cluster  start up an empty node with the same capacity and on NODEGROUP2 getProxy racks numOfDatanodes conf sum newNodeGroup TestBalancer testBalancerWithNodeGroup createFile waitActive createProxy createConf NameNodeProxies MiniDFSClusterWithNodeGroup totalCapacity RACK1 NODEGROUP2 builder NODEGROUP1 client  run balancer and validate results capacities RACK0 NODEGROUP0 nodeGroups CAPACITY startDataNodes  fill up the cluster to be 20% full filePath newCapacity assertEquals getFileSystem newRack runBalancer simulatedCapacities totalUsedSpace setNodeGroups numDataNodes shutdown getUri ,hadoop,1
"bb dataOut seed keyInterval allocBloom  we assume only 2 blooms in this test, so exit before a 3rd is made getKeyCount Hash System valid seed =  Bytes  add assertTrue newBf1  check get bloomCount nextBoolean write False positives:  add  test serialization/deserialization getDataWriter set err toBytes falsePositives  allow some tolerance bf1 ByteBuffer keys added =  r contains testDynamicBloom getMetaWriter currentTimeMillis toByteArray metaOut wrap ",hadoop,1
address getLocalPort set socket2 Server max address2 conf - TestRange 0.0.0.0 testBind bind min isBound assertTrue socket close ,hadoop,0
fullCrc testUnstripedIncorrectChunkSize chunkSize  the fullCrc. update assertEquals type crcBytesByChunk newCrcComposer CrcComposer CrcUtil digest calculatedCrc readInt digester assertNotEquals ,hadoop,0
"FS001 FS002 viewfs is a supported scheme. This should not throw exception getErrorCode assertTrue bla get hdfs,viewfs  testing schemes supported hdfs://x/bla init ae testValidatePath destroy getMessage assertEquals validatePath viewfs://bla HadoopAccessorService fail Services E0904 contains ex file://bla setSystemProperty file is not a supported scheme. This should throw exception ",oozie,1
fail IOUtils getResourceAsString abcde testGetResourceAsString assertEquals invalid-resource.txt test-ioutils.txt ,oozie,1
KeyProvider p1 getClass generateEncryptedKey testClassCastException getName kp AuthenticationException foo encryptedKeyVersion createKey conf getCause rollNewVersion contains assertTrue decryptEncryptedKey options mock kms://http@host1:9600/kms/foo ioe ,hadoop,0
add fromList assertEquals l testIterator ,hadoop,0
