token,loc,class
play only-if-cached assertGatewayTimeout server getUrl Cache-Control openConnection connection requestOnlyIfCachedWithNoResponseCached addRequestProperty / ,6,1
formatDate play A Last-Modified:  server readAscii Date:  addHeader B requestPragmaNoCache openConnection no-cache assertEquals Pragma setBody url / enqueue getUrl Cache-Control: max-age=60 setRequestProperty TimeUnit connection ,10,1
testResponseCaching TransferKind responseCachingAndInputStreamSkipWithChunkedEncoding ,3,1
formatDate play Expires:  Last-Modified:  server readAscii addHeader ABC DEF openConnection responseCachingAndRedirects assertEquals setResponseCode setBody Location: /foo / enqueue getUrl HttpURLConnection TimeUnit connection ,10,1
formatDate play Expires:  Last-Modified:  A server readAscii addHeader B openConnection assertEquals setBody url / enqueue getUrl TimeUnit serverReturnsDocumentOlderThanCache ,8,1
play formatDate A server readAscii request setIfModifiedSince getHeaders takeRequest openConnection getTime assertEquals setBody url If-Modified-Since:  / enqueue getUrl contains assertTrue connection since ,11,1
"play server readAscii addHeader wWw-aUtHeNtIcAtE: bAsIc rEaLm=""pRoTeCtEd aReA"" authenticateRealmUppercase assertEquals setResponseCode setBody setDefault getInputStream / Integer enqueue getUrl Successful auth! client connection Please authenticate. Authenticator open ",11,1
authenticateWithChunkedStreaming StreamingMode testAuthenticateWithStreamingPost ,3,1
play server getUrl fail client setFixedLengthStreamingMode connection open / cannotSetNegativeFixedLengthStreamingMode ,10,1
play server getUrl setChunkedStreamingMode canSetNegativeChunkedStreamingMode client connection open / ,5,1
chunkedUpload_byteByByte WriteKind TransferKind doUpload ,3,1
chunkedUpload_smallBuffers WriteKind TransferKind doUpload ,3,1
play server request Accept-Encoding client connection readAscii addHeader getHeaders takeRequest Accept-Encoding: custom custom assertEquals setBody getInputStream addRequestProperty assertContains / Integer ABCDE enqueue getUrl Content-Encoding: custom clientConfiguredCustomContentEncoding open ,9,1
play server a connectionCloseInRequest b getSequenceNumber takeRequest When connection: close is used  each request should get its own connection Connection assertEquals / enqueue getUrl setRequestProperty getResponseCode client close open ,12,1
play server /foo getUrl fail client connectRetriesUntilConnectedOrFailed connection url shutdown open connect ,12,1
play server connectViaHttpProxyToHttpsUsingBadProxyAndHttpResponseCache initResponseCache Connect line failure on proxy toProxyAddress client SocketPolicy connection bogus proxy connect response content Host: android.com connect https://android.com/foo setSslSocketFactory getHostName getAllByName getHeaders takeRequest setProxy setSocketPolicy sslContext assertEquals setBody url assertContains getSocketFactory enqueue fail getRequestLine CONNECT android.com:443 HTTP/1.1 inetAddress response getResponseCode useHttps InetAddress open ,26,1
testConnectViaProxy connectViaProxyUsingProxySystemProperty ProxyConfig ,3,1
play server addHeader contentDisagreesWithChunkedHeader abc getBody clearHeaders UTF-8 assertContent Transfer-encoding: chunked setBody \r YOU SHOULD NOT SEE THIS getBytes / enqueue getUrl setChunkedBody mockResponse toByteArray client write open bytesOut ,13,1
"authCallsForHeader size calls realm=""testrealm@host.com""  qop=""auth auth-int""   assertEquals nonce=""dcd98b7102dd2f0e8b11d0f600bfb0c093""   WWW-Authenticate: Digest  digestAuthentication opaque=""5ccc069c403ebaf9f0171e9517f40e41"" ",4,1
play server disconnect read in assertEquals disconnectedConnection setBody getInputStream / enqueue getUrl fail ABCDEFGHIJKLMNOPQR client connection open Expected a connection closed exception ,14,1
testEarlyDisconnectDoesntHarmPooling earlyDisconnectDoesntHarmPoolingWithFixedLengthEncoding TransferKind ,3,1
play  server A addHeader :A assertEquals body setBody / emptyResponseHeaderNameIsLenient enqueue getUrl getHeaderField getResponseCode client connection open ,7,1
fixedLengthUpload_largeBuffers WriteKind TransferKind doUpload ,3,1
WriteKind TransferKind doUpload fixedLengthUpload_smallBuffers ,3,1
play A server setRequestMethod POST setBody out enqueue getUrl fail /b 3 flush setRequestProperty client connection getOutputStream fullyBufferedPostIsTooLong Content-Length write open ,18,1
play A server setRequestMethod POST setBody out enqueue getUrl fail /b 4 setRequestProperty fullyBufferedPostIsTooShort client connection getOutputStream Content-Length write close open ,17,1
play A server readAscii addHeader in getContent assertEquals setBody / Integer enqueue getUrl Content-Type: text/plain client connection open ,7,1
play server ABC assertEquals getContentLengthConnects setBody getContentLength / enqueue getUrl client connection open ,6,1
play server enqueue getUrl fail client connection getOutputStream getOutputStreamOnGetFails open / ,11,1
play server A value2 value1 assertEquals addRequestProperty / getRequestProperty getRequestPropertyReturnsLastValue getUrl client connection open ,7,1
play server getSequenceNumber assertContent Moved! Moved! Moved! getBytes Location: /foo HttpURLConnection UTF_8 client connection requestB requestA addHeader takeRequest gzip assertEquals setResponseCode setBody gzipWithRedirectAndConnectionReuse Content-Encoding: gzip / enqueue getUrl This is the new page! open ,14,1
inputStreamAvailableWithContentLengthHeader testInputStreamAvailable TransferKind ,3,1
testInputStreamAvailable TransferKind inputStreamAvailableWithNoLengthHeaders ,3,1
play server readAscii addHeader clearHeaders Transfer-encoding: chunked setBody getInputStream / Integer enqueue getUrl fail 5\r ABCDE\r G\r FGHIJKLMNOPQRSTU\r 0\r \r  client nonHexChunkSize connection open ,11,1
reusedConnectionFailsWithPost postFailsWithBufferedRequestForSmallRequest TransferKind ,3,1
reusedConnectionFailsWithPost postFailsWithChunkedRequestForLargeRequest TransferKind ,3,1
reusedConnectionFailsWithPost postFailsWithChunkedRequestForSmallRequest TransferKind ,3,1
reusedConnectionFailsWithPost postFailsWithFixedLengthRequestForLargeRequest TransferKind ,3,1
reusedConnectionFailsWithPost postFailsWithFixedLengthRequestForSmallRequest TransferKind ,3,1
play server readAscii ABC addHeader read clearHeaders in setSocketPolicy readAfterLastByte assertEquals setBody getInputStream / Connection: close enqueue getUrl client SocketPolicy connection open ,12,1
testRedirected redirectedWithChunkedEncoding TransferKind ,3,1
testRedirected redirectedWithNoLengthHeaders TransferKind ,3,1
redirectToAnotherOriginServer ,3,1
testRequestBodySurvivesRetries TransferKind requestBodySurvivesRetriesWithBufferedBody ,3,1
requestBodySurvivesRetriesWithChunkedStreaming testRequestBodySurvivesRetries TransferKind ,3,1
testRequestBodySurvivesRetries requestBodySurvivesRetriesWithFixedLength TransferKind ,3,1
testResponseRedirectedWithPost HttpURLConnection response300MultipleChoiceWithPost ,3,1
testResponseRedirectedWithPost HttpURLConnection response302MovedTemporarilyWithPost ,3,1
testResponseRedirectedWithPost HttpURLConnection response303SeeOtherWithPost ,3,1
play server Location:  This page has moved! response305UseProxy Proxy Response HttpURLConnection page1 client connection /foo readAscii addHeader getRequestCount takeRequest assertEquals setResponseCode setBody getInputStream / Integer getUrl enqueue getRequestLine GET /foo HTTP/1.1 open ,10,1
HEAD test307Redirect response307WithHead ,3,1
test307Redirect response307WithOptions OPTIONS ,3,1
response307WithPost test307Redirect POST ,3,1
play server responseCacheReturnsNullOutputStream aborted assertFalse put get client connection close readAscii set abc getBody in assertEquals setResponseCache setBody getInputStream / enqueue getUrl abort abcdef open ,30,1
A: e play server A A: c B getResponseMessage asList N put ABCDE FGHIJ KLMNO PQR HTTP/1.0 200 Fantastic get client newSet connection getHeaderFieldKey add a B: d addHeader c d e Modified an unmodifiable view. f assertEquals setStatus / Fantastic o enqueue getUrl fail getHeaderField setChunkedBody getHeaderFields responseHeaders getResponseCode Arrays open ,30,1
play server serverSendsInvalidCodeTooLarge HTTP/1.1 2147483648 OK setStatus / enqueue getUrl fail getResponseCode client connection open ,11,1
SHUTDOWN_INPUT_AT_END serverShutdownInput testServerClosesOutput ,3,1
SHUTDOWN_OUTPUT_AT_END testServerClosesOutput serverShutdownOutput ,3,1
play server CONNECT setInvalidRequestMethodConnect assertInvalidRequestMethod ,4,1
play server setInvalidRequestMethodLowercase get assertInvalidRequestMethod ,4,1
play A server assertContent setBody asList / enqueue setProtocols getUrl client Protocol Arrays open ,6,1
setProtocols fail client setProtocolsWithoutHttp11 Protocol Arrays asList ,8,1
play server read in singleByteReadIsSigned assertEquals setBody getInputStream / enqueue getUrl client connection open ,9,1
play server unauthorizedResponseHandling addHeader conn getRequestCount assertEquals setResponseCode setBody url / WWW-Authenticate: challenge enqueue getUrl response getResponseCode Unauthorized client open ,16,1
play  server request assertContent Math out getHeader min byteCount setBodyLimit client connection buffer Content-Length write veryLargeFixedLengthRequest bytesWritten takeRequest assertEquals / Integer enqueue getUrl Long setFixedLengthStreamingMode contentLength getOutputStream toString open setDoOutput ,19,1
POST zeroLengthPost zeroLengthPayload ,6,1
zeroLengthPut PUT zeroLengthPayload ,6,1
banana play a b synReply android headerEntries assertEquals acceptFrame sendFrame stream openStreamCount peer SPDY3 getResponseHeaders connection headersOnlyStreamIsClosedAfterReplyHeaders newStream ,10,1
play next Okio assertFlushBlocks HTTP_20_DRAFT_09 headerEntries getSink out apple acceptFrame flush INITIAL_WINDOW_SIZE stream peer connection getStream framesThatFillWindow buffer roundUp write Settings a settings writeByte set initial initialSettingsWithWindowSizeAdjustsConnection assertEquals PERSIST_VALUE maxFrameSize SPDY3 newStream ,31,1
play data maxFrameSizeHonored android Okio HTTP_20_DRAFT_09 headerEntries getSink out acceptFrame flush stream TYPE_HEADERS peer connection buffer write close takeFrame banana a b synReply setVariantAndClient assertEquals fill maxFrameSize sendFrame synStream Arrays buff newStream ,22,1
settings frameReader set peerHttp2ServerZerosCompressionTable getHeaderTableSize maxHeaderTableByteCount client PERSIST_VALUE connection assertEquals sendHttp2SettingsAndCheckForAck Settings ,11,1
pushPromise play data streamId headerEntries onReset asList observer TYPE_HEADERS connection https events add banana read last onHeaders /cached onData 200 requestHeaders responseHeaders Header size getSource GET pushObserver Arrays newStream onRequest android squareup.com HTTP_20_DRAFT_09 connectionBuilder acceptFrame assertTrue peer get client takeFrame expectedResponseHeaders a b synReply expectedRequestHeaders setVariantAndClient assertEquals pushPromiseStream sendFrame build ,40,1
readSendsWindowUpdate SPDY3 ,3,1
readSendsWindowUpdate readSendsWindowUpdateHttp2 HTTP_20_DRAFT_09 ,3,1
SPDY3 receiveGoAway ,3,1
receiveGoAway HTTP_20_DRAFT_09 receiveGoAwayHttp2 ,3,1
play c3po data ping android assertStreamData headerEntries robot acceptFrame stream TYPE_HEADERS peer getResponseHeaders TYPE_PING connection writeUtf8 takeFrame banana a b synReply remoteSendsDataAfterInFinished assertEquals HeadersMode sendFrame SPDY3 getSource synStream newStream ,19,1
play handler incrementAndGet android headerEntries connectionBuilder acceptFrame stream TYPE_HEADERS assertTrue peer get receiveCount reply takeFrame banana a receive b assertEquals HeadersMode sendFrame build SPDY3 synStream replyWithNoData ,20,1
play data android assertFalse assertStreamData headerEntries source acceptFrame stream openStreamCount TYPE_HEADERS assertTrue peer connection writeUtf8 takeFrame banana a b synReply serverClosesClientInputStream assertEquals HeadersMode square sendFrame SPDY3 getSource synStream newStream ,16,1
result Hello to the blog example! getServerAddress contains assertTrue ninjaTestBrowser My second post makeRequest testThatHomepageWorks / ,5,1
rs ONE description wrapper when getQueryTrace getDescription asList resultSet ConsistencyLevel getEvents NO_LISTENER executionInfo NO_SERIAL_CONSISTENCY event tracing thenReturn thread getSourceElapsedMicros getLocalHost getAllExecutionInfo should_trace_query getSource getThreadName mock RETURNS_DEEP_STUBS Arrays InetAddress getAchievedConsistencyLevel ,13,1
isNotNull withTtl RandomUtils manager nextInt nextLong assertThat should_persist_with_ttl OptionsBuilder Thread sleep compoundKey clustered_value find isNull name persist entity ,8,1
isNotNull withTtl RandomUtils manager nextInt nextLong assertThat OptionsBuilder Thread sleep compoundKey should_update_with_ttl clustered_value find isNull name persist entity ,8,1
buid isNotNull actual manager assertThat CompleteBeanTestBuilder found1 John DOO entity1 entity2 hasSize randomId condition indexedQuery get builder name DuyHai persist should_return_entities_for_indexed_query ,11,1
result size getTime now tenMinutesBefore getTotal is assertFindJobExecutionEventsWithTime getRows repository assertThat findJobExecutionEvents ,19,1
result size getTime findJobStatusTraceEvents now tenMinutesBefore getTotal is getRows repository assertThat assertFindJobStatusTraceEventsWithTime ,19,1
regCenterTime zkRegCenter assertTrue updatedRegCenterTime currentTimeMillis assertGetRegistryCenterTime /_systemTime/current getRegistryCenterTime   System ,7,1
date readResponse getTime DateUtils System result sleep HttpClientUtils DefaultServer Assert assertTrue get firstDate client /path getHeaders getDefaultServerURL assertEquals execute Date Thread getValue getStatusCode parseDate getConnectionManager currentTimeMillis getStatusLine testDateHandler shutdown secondDate ,25,1
readResponse server2 server1 result HttpClientUtils testLoadSharedWithServerShutdown DefaultServer Assert assertTrue get client resultString start getDefaultServerURL assertEquals execute contains /name getStatusCode stop getConnectionManager getStatusLine toString shutdown append ,22,1
"getName ResponseHandler ="" EventType DefaultServer REALM_NAME assertSingleNotificationType DigestAlgorithm   DigestAuthorizationToken userOne "" containsKey ProcessedBy DigestWWWAuthenticateToken   execute nonce / GET ""userOne"" = AuthenticationInfoToken values assertFalse parsedAuthInfo WWW_AUTHENTICATE ""  substring parsedHeader sb result parseHeader assertTrue get client testDigestSuccess value passwordOne addHeader getHeaders Authentication-Info getDefaultServerURL createResponse assertEquals DIGEST getValue getStatusCode response setAuthenticationChain getToken getStatusLine toString append AUTHORIZATION startsWith =""/""  ",57,1
"getName ResponseHandler ="" EventType DefaultServer REALM_NAME assertSingleNotificationType DigestAlgorithm   DigestAuthorizationToken userOne "" ProcessedBy DigestWWWAuthenticateToken   execute nonce / GET true ""userOne"" = values WWW_AUTHENTICATE ""  substring parsedHeader sb result parseHeader assertTrue testNonceReUse get client value passwordOne addHeader getHeaders getDefaultServerURL createResponse assertEquals DIGEST getValue getStatusCode response setAuthenticationChain getToken getStatusLine toString append AUTHORIZATION startsWith =""/""  ",66,1
DigestQop ResponseHandler EventType createRspAuth authorization DefaultServer assertNotNull REALM_NAME assertSingleNotificationType Didn't expect a new nonce. DigestAlgorithm userOne nonceCount ProcessedBy DigestWWWAuthenticateToken execute nonce / toHex GET nonceCountString AuthenticationInfoToken createAuthorizationLine values parsedAuthInfo WWW_AUTHENTICATE substring parsedHeader result parseHeader assertTrue get clientNonce client testDigestSuccess value passwordOne addHeader opaque getHeaders Authentication-Info getDefaultServerURL assertEquals DIGEST getValue createNonce getStatusCode setAuthenticationChain getToken getStatusLine thisNonceCount toString AUTHORIZATION startsWith ,45,1
